"task_id","bucket","category","direction","plan_a_slot","plan_b_slot","plan_a_text_sha256","plan_b_text_sha256","generated_text_sha256","reference_id"
"ca8dd212a7c919d92fe9e75f","original_original","original_original","ordered","original:toolkaiser","original:kebo","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","aa5f9558db21564e3a2b1ba7ab450e67d48c8dc3c36bf78e57b61b310977341e","",""
"0aaaa36af0edd2301daf90fa","original_original","original_original","ordered","original:toolkaiser","original:kujietool","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","69db6f7ae6b516bfde4294aa7e7c619713dde652b97c3e29afb61b71f645217d","",""
"f9e767ded1ed10b377216d87","original_original","original_original","ordered","original:toolkaiser","original:genaix","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","a2763eb0a850c90a9c3db2e9e5fa4a09964db60aa817ae5312bd9f83ed62fac2","",""
"c5e408c31b493f3787e2b949","original_original","original_original","ordered","original:toolkaiser","original:hply","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","2b9ec4f0a2c9962a51def02a800b502f5478cdb6e5dcfb6d6336e56b6e89cda7","",""
"3c4f2b96ff99dcff154785ce","original_original","original_original","ordered","original:toolkaiser","original:pictomic","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","e133ba0ed3f49b5ec25f7860f9d4c1f2f7cfaa92352e24ddc1e3fbc242026551","",""
"517c66fbab181a24673824c0","original_original","original_original","ordered","original:toolkaiser","original:humanecheck","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","5ed9c1bb776a21656f9a183c202d2ec131c28ee51b1bb262b94120d1d78249e1","",""
"27a225c3e3a273fef052b821","original_original","original_original","ordered","original:toolkaiser","original:ubo-pod","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","168019bd98a32a5b70bbd3d571cf642c5ab036f9fb8a105c797a04a40cb31d32","",""
"b915f8615be862c14f7a6b47","original_original","original_original","ordered","original:toolkaiser","original:dreamie","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","ad7f5f72811c15c249462f319fa83d5e8475e7f1c8d8f800c0b38580fbe5bf4e","",""
"84549dc5cf4d1f69f057a89c","original_original","original_original","ordered","original:toolkaiser","original:pickup","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","ec828e8c63ce315146acb6e429c46a9969ac598304bb7746444cd2681250629b","",""
"74846ddef08e9ef1126b06aa","original_original","original_original","ordered","original:toolkaiser","original:angelry","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","9a2b3163172ed0dd22fec559790c821c9291f5e5301c5f8c794976f84a2bf15c","",""
"0e4fc88cd668a58c2d110006","original_original","original_original","ordered","original:toolkaiser","original:soloist","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","e5c3778bdcb7700aae7af216ea934e9af1195b409f47d8918c6d5a16e5e66c70","",""
"4ad78b5d3aa4de12c47a98dc","original_original","original_original","ordered","original:toolkaiser","original:cop-rights","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","e8292275104e5d5c5a1bd4057c88a796515519110881d05414c8f80b242b951d","",""
"40e46ff004c79857c8534193","original_original","original_original","ordered","original:toolkaiser","original:zulni","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","47a4deea25663ec2640e191235bde35734ebd562418c59679737cc47e7a0b64b","",""
"5d0693f55312689e82cb7ac7","original_original","original_original","ordered","original:toolkaiser","original:voyagx","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","d9a193ff6a51d00e8b26cb3178e0beb0ef707332bcd93a8f09fe3f38fd697321","",""
"aab80fc77ac4697128320112","original_original","original_original","ordered","original:toolkaiser","original:clockchain","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","53aff7862f42a2fa6ed3d9592cf4b898aa7e75287aeb570a7930b2ed47d80db4","",""
"084d2b519b2f7f846d7e1839","original_original","original_original","ordered","original:toolkaiser","original:my-story","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","42ceb839f260704e0146114892261ce378873dc829592e9df08ef6f0260ee5d8","",""
"a62b4a591cd9b83a7c21193c","original_original","original_original","ordered","original:toolkaiser","original:hooper","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","de2d4db31657fbd2bc0a5d4fc1eac231f8a48fe37fabef7f80ba12a5c6e1617b","",""
"f5921d075e0a02f333b0fd50","original_original","original_original","ordered","original:toolkaiser","original:lifesummary","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","0a8a6fe57a7b0e4a5d0a6d0eb186271d4b0ab0e0aad3369581af7eb679c313de","",""
"db6ecc8aa4787ccb6459afd0","original_original","original_original","ordered","original:toolkaiser","original:fraction","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","38a892df52e4e0b84a7ea0d1fbaf9ba535f568579907894c8bafaef58a0615a3","",""
"73034e4fa99c144e7538ceda","original_original","original_original","ordered","original:toolkaiser","original:cyberdesk","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","a5eb2a7a2bc9810c89b4d488eedb666abc300a8b3fc41b865a33417e909a288f","",""
"8224a058e4dc8018b14b9839","original_original","original_original","ordered","original:toolkaiser","original:remotion-ai","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","a1db6a7f50f63f1e382f0276ec390d745dfcd680d68bcea160a045b6c8daf814","",""
"0752a5fe756a2e5a2449c0e3","original_original","original_original","ordered","original:toolkaiser","original:lumivisor","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","7417287441e403253d30caba989c9a87c36b95de1d711139f075fdfbc9d5bff9","",""
