"task_id","bucket","category","direction","plan_a_slot","plan_b_slot","plan_a_text_sha256","plan_b_text_sha256","generated_text_sha256","reference_id"
"62692a9fdfb3af430afd0685","original_original","original_original","ordered","original:toolkaiser","original:kebo","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","aa5f9558db21564e3a2b1ba7ab450e67d48c8dc3c36bf78e57b61b310977341e","",""
"29e47c2885090b9da4929b8b","original_original","original_original","ordered","original:toolkaiser","original:kujietool","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","69db6f7ae6b516bfde4294aa7e7c619713dde652b97c3e29afb61b71f645217d","",""
"c132d4c29e1ddb4a56a3f27a","original_original","original_original","ordered","original:toolkaiser","original:genaix","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","a2763eb0a850c90a9c3db2e9e5fa4a09964db60aa817ae5312bd9f83ed62fac2","",""
"9c61b893dfe9dd11ddbe51f2","original_original","original_original","ordered","original:toolkaiser","original:hply","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","2b9ec4f0a2c9962a51def02a800b502f5478cdb6e5dcfb6d6336e56b6e89cda7","",""
"9664d3468b38391ceb0ec2b0","original_original","original_original","ordered","original:toolkaiser","original:pictomic","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","e133ba0ed3f49b5ec25f7860f9d4c1f2f7cfaa92352e24ddc1e3fbc242026551","",""
"720f5ed9465577614f4326ce","original_original","original_original","ordered","original:toolkaiser","original:humanecheck","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","5ed9c1bb776a21656f9a183c202d2ec131c28ee51b1bb262b94120d1d78249e1","",""
"d3fbd069c109dbacbe1b1d8f","original_original","original_original","ordered","original:toolkaiser","original:ubo-pod","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","168019bd98a32a5b70bbd3d571cf642c5ab036f9fb8a105c797a04a40cb31d32","",""
"d2accdc0ff345eff1eb23e8d","original_original","original_original","ordered","original:toolkaiser","original:dreamie","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","ad7f5f72811c15c249462f319fa83d5e8475e7f1c8d8f800c0b38580fbe5bf4e","",""
"b96ccc44184411fd8d4d19af","original_original","original_original","ordered","original:toolkaiser","original:pickup","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","ec828e8c63ce315146acb6e429c46a9969ac598304bb7746444cd2681250629b","",""
"b71021424f785ad4e3330703","original_original","original_original","ordered","original:toolkaiser","original:angelry","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","9a2b3163172ed0dd22fec559790c821c9291f5e5301c5f8c794976f84a2bf15c","",""
"4feb6143a1c7a5de5a09c2d8","original_original","original_original","ordered","original:toolkaiser","original:soloist","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","e5c3778bdcb7700aae7af216ea934e9af1195b409f47d8918c6d5a16e5e66c70","",""
"4ea20af78498260f5a77a4a7","original_original","original_original","ordered","original:toolkaiser","original:cop-rights","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","e8292275104e5d5c5a1bd4057c88a796515519110881d05414c8f80b242b951d","",""
"1139885463ae19cce64a8ee2","original_original","original_original","ordered","original:toolkaiser","original:zulni","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","47a4deea25663ec2640e191235bde35734ebd562418c59679737cc47e7a0b64b","",""
"3f0ad78190b3c5d98a573336","original_original","original_original","ordered","original:toolkaiser","original:voyagx","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","d9a193ff6a51d00e8b26cb3178e0beb0ef707332bcd93a8f09fe3f38fd697321","",""
"5ceb029dbc55b2f301d82fce","original_original","original_original","ordered","original:toolkaiser","original:clockchain","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","53aff7862f42a2fa6ed3d9592cf4b898aa7e75287aeb570a7930b2ed47d80db4","",""
"60be560ca29ed4a685a43bec","original_original","original_original","ordered","original:toolkaiser","original:my-story","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","42ceb839f260704e0146114892261ce378873dc829592e9df08ef6f0260ee5d8","",""
